0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:20 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:42 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:30:44 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:31:02 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:38 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:39 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:43 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:43 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:50 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:51 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:51 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:51 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:51 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:52 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:52 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:52 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [09/Apr/2020:10:32:52 +0800] "GET /FinalProject/fragment/indexTOP.jsp HTTP/1.1" 200 1199
